Time: 39898| X:-1088| Y:741
Time: 39968| X:-1017| Y:730
Time: 40038| X:-1036| Y:741
Time: 40106| X:-998| Y:719
Time: 40173| X:-964| Y:715
Time: 40240| X:-841| Y:726
Time: 40307| X:-796| Y:722
Time: 40374| X:-781| Y:707
Time: 40441| X:-788| Y:704
Time: 40508| X:-784| Y:700
Time: 40575| X:-739| Y:704
Time: 40644| X:-736| Y:715
Time: 40714| X:-691| Y:704
Time: 40783| X:-672| Y:704
Time: 40853| X:-661| Y:666
Time: 40923| X:-649| Y:670
Time: 40993| X:-619| Y:681
Time: 41063| X:-574| Y:625
Time: 41130| X:-522| Y:629
Time: 41197| X:-466| Y:595
Time: 41264| X:-391| Y:572
Time: 41331| X:-364| Y:535
Time: 41398| X:-327| Y:464
Time: 41465| X:-244| Y:475
Time: 41532| X:-293| Y:475
Time: 41599| X:-301| Y:494
Time: 41668| X:-286| Y:475
Time: 41739| X:-301| Y:486
Time: 41808| X:-289| Y:479
Time: 41878| X:-308| Y:490
Time: 41948| X:-319| Y:482
Time: 42018| X:-349| Y:512
Time: 42086| X:-571| Y:629
Time: 42154| X:-882| Y:752
Time: 42221| X:-1013| Y:749
Time: 42288| X:-1088| Y:722
Time: 42354| X:-1137| Y:730
Time: 42421| X:-1148| Y:692
Time: 42489| X:-1306| Y:674
Time: 42555| X:-1332| Y:651
Time: 42623| X:-1332| Y:617
Time: 42692| X:-1388| Y:610
Time: 42763| X:-1594| Y:531
Time: 42833| X:-1658| Y:419
Time: 42902| X:-1786| Y:306
Time: 42972| X:-1857| Y:254
Time: 43042| X:-1834| Y:276
Time: 43110| X:-1849| Y:254
Time: 43176| X:-1834| Y:257
Time: 43243| X:-1827| Y:227
Time: 43310| X:-1846| Y:182
Time: 43377| X:-1898| Y:141
Time: 43444| X:-1891| Y:141
Time: 43511| X:-1917| Y:152
Time: 43578| X:-1913| Y:100
Time: 43648| X:-1902| Y:104
Time: 43717| X:-1921| Y:89
Time: 43787| X:-1917| Y:59
Time: 43857| X:-1932| Y:14
Time: 43927| X:-1954| Y:55
Time: 43997| X:-1954| Y:44
Time: 44067| X:-1984| Y:-46
Time: 44133| X:-1992| Y:-222
Time: 44200| X:-2007| Y:-353
Time: 44267| X:-2011| Y:-477
Time: 44334| X:-1958| Y:-593
Time: 44401| X:-1913| Y:-717
Time: 44469| X:-1902| Y:-721
Time: 44535| X:-1891| Y:-728
Time: 44602| X:-1872| Y:-788
Time: 44672| X:-1842| Y:-814
Time: 44743| X:-1849| Y:-822
Time: 44812| X:-1834| Y:-841
Time: 44882| X:-1838| Y:-814
Time: 44952| X:-1808| Y:-852
Time: 45036| X:-1801| Y:-874
Time: 45103| X:-1804| Y:-874
Time: 45169| X:-1786| Y:-953
Time: 45236| X:-1654| Y:-1054
Time: 45304| X:-1636| Y:-1077
Time: 45370| X:-1636| Y:-1054
Time: 45437| X:-1647| Y:-1069
Time: 45505| X:-1617| Y:-1114
Time: 45571| X:-1621| Y:-1062
Time: 45640| X:-1621| Y:-1126
Time: 45710| X:-1602| Y:-1103
Time: 45780| X:-1591| Y:-1088
Time: 45850| X:-1519| Y:-1133
Time: 45920| X:-1508| Y:-1167
Time: 45990| X:-1508| Y:-1144
Time: 46060| X:-1519| Y:-1159
Time: 46128| X:-1328| Y:-1234
Time: 46195| X:-1298| Y:-1253
Time: 46262| X:-1249| Y:-1279
Time: 46328| X:-1261| Y:-1283
Time: 46395| X:-1227| Y:-1291
Time: 46462| X:-1261| Y:-1268
Time: 46529| X:-1163| Y:-1302
Time: 46597| X:-1066| Y:-1306
